   Computed Properties
   Molecular Weight                  141.16774 [g/mol]
   Molecular Formula                 C[7]H[11]NO[2]
   XLogP3-AA                         0.1
   H-Bond Donor                      1
   H-Bond Acceptor                   3
   Rotatable Bond Count              2
   Exact Mass                        141.078979
   MonoIsotopic Mass                 141.078979
   Topological Polar Surface Area    38.3
   Heavy Atom Count                  10
   Formal Charge                     0
   Complexity                        163
   Isotope Atom Count                0
   Defined Atom Stereocenter Count   0
   Undefined Atom Stereocenter Count 0
   Defined Bond Stereocenter Count   0
   Undefined Bond Stereocenter Count 0
   Covalently-Bonded Unit Count      1
   Feature 3D Acceptor Count         1
   Feature 3D Donor Count            1
   Feature 3D Cation Count           1
   Feature 3D Ring Count             1
   Effective Rotor Count             2.8
   Conformer Sampling RMSD           0.6
   CID Conformer Count               [1]3

References

   1. http://pubchem.ncbi.nlm.nih.gov/vw3d/vw3d.cgi?cid=160492
